Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1145370,-,-,-,38.89,-77.02,-5,22,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Surface Albedo,Clearsky DHI,Clearsky DNI,Clearsky GHI
2024,1,1,0,30,0,0,0,1.6,1.6,1014,100,216,1.4000000000000001,0.14,0,0,0
2024,1,1,1,30,0,0,0,1.2000000000000002,1.2000000000000002,1014,100,231,1.2000000000000002,0.14,0,0,0
2024,1,1,2,30,0,0,0,0.9,0.9,1014,100,256,1.1,0.14,0,0,0
2024,1,1,3,30,0,0,0,0.9,0.9,1013,100,286,1.1,0.14,0,0,0
2024,1,1,4,30,0,0,0,1.2000000000000002,1.2000000000000002,1014,100,309,1.3,0.14,0,0,0
2024,1,1,5,30,0,0,0,1.2000000000000002,1.5,1014,97.89,320,1.6,0.14,0,0,0
2024,1,1,6,30,0,0,0,1.3,1.8,1015,96.42,323,1.9000000000000001,0.14,0,0,0
2024,1,1,7,30,9,3,3,1.4000000000000001,2.7,1015,91.25,320,2.5,0.14,6,22,6
2024,1,1,8,30,64,81,91,1.9000000000000001,4,1016,86.37,315,3.1,0.14,61,368,121
2024,1,1,9,30,7,85,87,2.2,5.1000000000000005,1016,81.61,315,3.6,0.14,83,612,268
2024,1,1,10,30,0,27,27,1.9000000000000001,5.9,1016,75.43,321,3.9000000000000004,0.14,89,744,389
2024,1,1,11,30,0,46,46,1.7000000000000002,6.2,1016,72.73,325,3.8000000000000003,0.14,100,771,455
2024,1,1,12,30,0,45,45,1.8,6.2,1016,73.3,324,3.4000000000000004,0.14,104,769,465
2024,1,1,13,30,0,37,37,1.9000000000000001,6.1000000000000005,1016,74.57000000000001,322,3.1,0.14,103,728,416
2024,1,1,14,30,0,34,34,2,5.6000000000000005,1016,77.91,316,2.9000000000000004,0.14,96,634,315
2024,1,1,15,30,0,11,11,2.3000000000000003,4.7,1017,84.22,308,2.5,0.14,76,453,176
2024,1,1,16,30,121,30,38,2.4000000000000004,3.9000000000000004,1017,90.14,301,2.4000000000000004,0.14,30,121,38
2024,1,1,17,30,0,0,0,2.2,3.3000000000000003,1017,92.54,300,2.7,0.14,0,0,0
2024,1,1,18,30,0,0,0,1.9000000000000001,2.9000000000000004,1017,93.17,303,2.9000000000000004,0.14,0,0,0
2024,1,1,19,30,0,0,0,1.7000000000000002,2.7,1018,93.05,312,3.1,0.14,0,0,0
2024,1,1,20,30,0,0,0,1.6,2.6,1018,93.10000000000001,324,3.3000000000000003,0.14,0,0,0
2024,1,1,21,30,0,0,0,1.6,2.6,1018,93.18,332,3.3000000000000003,0.14,0,0,0
2024,1,1,22,30,0,0,0,1.6,2.4000000000000004,1018,94.17,338,3.3000000000000003,0.14,0,0,0
2024,1,1,23,30,0,0,0,1.3,2.1,1018,94.67,342,3.4000000000000004,0.14,0,0,0
2024,1,2,0,30,0,0,0,1,1.7000000000000002,1019,95.22,345,3.3000000000000003,0.14,0,0,0
2024,1,2,1,30,0,0,0,0.6000000000000001,1.2000000000000002,1019,95.77,343,3,0.14,0,0,0
